,precision,recall,f1-score,support
0,0.12075471698113208,0.23357664233576642,0.15920398009950248,137.0
1,0.5897435897435898,0.5542168674698795,0.5714285714285714,83.0
2,0.1069364161849711,0.3008130081300813,0.15778251599147122,123.0
3,0.5517241379310345,0.10191082802547771,0.17204301075268819,157.0
4,0.7777777777777778,0.7,0.7368421052631579,10.0
5,0.5853658536585366,0.4897959183673469,0.5333333333333333,49.0
6,0.13186813186813187,0.17391304347826086,0.15,138.0
7,0.5078534031413613,0.7348484848484849,0.6006191950464397,132.0
8,0.3333333333333333,0.14285714285714285,0.2,7.0
9,0.45,0.42857142857142855,0.43902439024390244,21.0
10,0.6661237785016286,0.44408251900108575,0.532899022801303,921.0
accuracy,0.3948256467941507,0.3948256467941507,0.3948256467941507,0.3948256467941507
macro avg,0.43831646719286327,0.39132598937135943,0.38665237499639726,1778.0
weighted avg,0.5130733815376255,0.3948256467941507,0.4221375248506992,1778.0
