skills,interests,education,recommended_career
python;data analysis;machine learning,technology;data science,bachelor's,data scientist
java;system design;cloud computing,software development;ai,master's,software engineer
graphic design;ui/ux;adobe creative suite,arts;digital media,bachelor's,ux designer
python;deep learning;statistics,healthcare;ai,bachelor's,ai researcher
project management;communication;agile,business;management,master's,project manager
c++;embedded systems;iot,electronics;automation,bachelor's,embedded systems engineer
sql;data warehousing;etl,finance;analytics,master's,data analyst
content writing;seo;social media,marketing;communications,bachelor's,digital marketer
python;natural language processing;machine learning,linguistics;technology,bachelor's,nlp engineer
financial analysis;excel;econometrics,finance;data analysis,master's,financial analyst
research;statistical analysis;python,academia;biotech,phd,research scientist
html;css;javascript,web development;design,bachelor's,front-end developer
java;algorithms;data structures,software engineering;coding,bachelor's,software developer
data visualization;python;r,data analysis;statistics,master's,data analyst
machine learning;big data;python,technology;innovation,master's,machine learning engineer
digital marketing;content creation;seo,marketing;social media,bachelor's,digital marketer
python;data mining;statistics,data science;finance,bachelor's,data scientist
c#;.net;software design,technology;gaming,bachelor's,software developer
project management;risk analysis;negotiation,business;management,master's,project manager
user research;ux design;prototyping,design;technology,bachelor's,ux designer
python;data analysis;sql,finance;analytics,bachelor's,data analyst
marketing strategy;digital marketing;crm,marketing;business,master's,marketing manager
javascript;react;node.js,web development;technology,bachelor's,full stack developer
data science;machine learning;python,healthcare;ai,master's,ai specialist
network security;linux;python,cybersecurity;technology,bachelor's,cybersecurity analyst
python;statistics;data mining,academia;research,master's,research analyst
cloud computing;devops;python,technology;business,bachelor's,devops engineer
content creation;graphic design;adobe photoshop,digital media;marketing,bachelor's,graphic designer
python;tensorflow;deep learning,technology;research,master's,deep learning engineer
sql;data warehousing;r,business;analytics,bachelor's,business analyst
java;spring;microservices,software engineering;finance,master's,backend developer
html;css;javascript;ux,web design;technology,bachelor's,front-end developer
machine learning;r;python,biotech;data science,master's,biostatistician
digital illustration;adobe illustrator;creativity,arts;design,bachelor's,graphic designer
python;big data;machine learning,finance;technology,master's,data engineer
copywriting;seo;social media,marketing;content,bachelor's,content strategist
python;javascript;data visualization,analytics;business,master's,data analyst
business analysis;excel;sql,business;finance,bachelor's,business analyst
python;automation;data analysis,technology;engineering,bachelor's,automation engineer
graphic design;ux/ui;adobe xd,digital media;design,bachelor's,ux designer
python;machine learning;ai,technology;innovation,master's,machine learning engineer
digital marketing;analytics;seo,marketing;business,bachelor's,digital marketer
python;data analysis;r,finance;data science,master's,financial analyst
content writing;storytelling;seo,media;marketing,bachelor's,content strategist
java;android;ui design,mobile apps;technology,bachelor's,mobile developer
ux research;prototyping;interaction design,design;user experience,master's,ux researcher
python;cybersecurity;network security,technology;security,bachelor's,cybersecurity specialist
sql;data analysis;excel,business;analytics,bachelor's,data analyst
cloud computing;python;devops,technology;business,master's,cloud engineer
graphic design;illustration;adobe creative suite,arts;design,bachelor's,graphic designer
java;spring;microservices,software engineering;technology,bachelor's,backend developer
python;machine learning;tensorflow,ai;innovation,master's,machine learning engineer
