skills,interests,education,recommended_career,skills_mapped
python;data analysis;machine learning,technology;data science,bachelor's,data scientist,data analysis;machine learning;python
java;system design;cloud computing,software development;ai,master's,software engineer,cloud computing;java;system design
graphic design;ui/ux;adobe creative suite,arts;digital media,bachelor's,ux designer,adobe creative suite;graphic design;ui;ux
python;deep learning;statistics,healthcare;ai,bachelor's,ai researcher,deep learning;python;statistics
project management;communication;agile,business;management,master's,project manager,agile;communication;project management
c++;embedded systems;iot,electronics;automation,bachelor's,embedded systems engineer,c++;embedded systems;iot
sql;data warehousing;etl,finance;analytics,master's,data analyst,data warehousing;etl;sql
content writing;seo;social media,marketing;communications,bachelor's,digital marketer,content writing;seo;social media
python;natural language processing;machine learning,linguistics;technology,bachelor's,nlp engineer,machine learning;natural language processing;python
financial analysis;excel;econometrics,finance;data analysis,master's,financial analyst,econometrics;excel;financial analysis
research;statistical analysis;python,academia;biotech,phd,research scientist,python;research;statistical analysis
html;css;javascript,web development;design,bachelor's,front-end developer,css;html;javascript
java;algorithms;data structures,software engineering;coding,bachelor's,software developer,algorithms;data structures;java
data visualization;python;r,data analysis;statistics,master's,data analyst,data visualization;python;r
machine learning;big data;python,technology;innovation,master's,machine learning engineer,big data;machine learning;python
digital marketing;content creation;seo,marketing;social media,bachelor's,digital marketer,content creation;digital marketing;seo
python;data mining;statistics,data science;finance,bachelor's,data scientist,data mining;python;statistics
c#;.net;software design,technology;gaming,bachelor's,software developer,.net;c#;software design
project management;risk analysis;negotiation,business;management,master's,project manager,negotiation;project management;risk analysis
user research;ux design;prototyping,design;technology,bachelor's,ux designer,prototyping;user research;ux design
python;data analysis;sql,finance;analytics,bachelor's,data analyst,data analysis;python;sql
marketing strategy;digital marketing;crm,marketing;business,master's,marketing manager,crm;digital marketing;marketing strategy
javascript;react;node.js,web development;technology,bachelor's,full stack developer,javascript;node.js;react
data science;machine learning;python,healthcare;ai,master's,ai specialist,data science;machine learning;python
network security;linux;python,cybersecurity;technology,bachelor's,cybersecurity analyst,linux;network security;python
python;statistics;data mining,academia;research,master's,research analyst,data mining;python;statistics
cloud computing;devops;python,technology;business,bachelor's,devops engineer,cloud computing;devops;python
content creation;graphic design;adobe photoshop,digital media;marketing,bachelor's,graphic designer,adobe photoshop;content creation;graphic design
python;tensorflow;deep learning,technology;research,master's,deep learning engineer,deep learning;python;tensorflow
sql;data warehousing;r,business;analytics,bachelor's,business analyst,data warehousing;r;sql
java;spring;microservices,software engineering;finance,master's,backend developer,java;microservices;spring
html;css;javascript;ux,web design;technology,bachelor's,front-end developer,css;html;javascript;ux
machine learning;r;python,biotech;data science,master's,biostatistician,machine learning;python;r
digital illustration;adobe illustrator;creativity,arts;design,bachelor's,graphic designer,adobe illustrator;creativity;digital illustration
python;big data;machine learning,finance;technology,master's,data engineer,big data;machine learning;python
copywriting;seo;social media,marketing;content,bachelor's,content strategist,copywriting;seo;social media
python;javascript;data visualization,analytics;business,master's,data analyst,data visualization;javascript;python
business analysis;excel;sql,business;finance,bachelor's,business analyst,business analysis;excel;sql
python;automation;data analysis,technology;engineering,bachelor's,automation engineer,automation;data analysis;python
graphic design;ux/ui;adobe xd,digital media;design,bachelor's,ux designer,adobe xd;graphic design;ui;ux
python;machine learning;ai,technology;innovation,master's,machine learning engineer,ai;machine learning;python
digital marketing;analytics;seo,marketing;business,bachelor's,digital marketer,analytics;digital marketing;seo
python;data analysis;r,finance;data science,master's,financial analyst,data analysis;python;r
content writing;storytelling;seo,media;marketing,bachelor's,content strategist,content writing;seo;storytelling
java;android;ui design,mobile apps;technology,bachelor's,mobile developer,android;java;ui design
ux research;prototyping;interaction design,design;user experience,master's,ux researcher,interaction design;prototyping;ux research
python;cybersecurity;network security,technology;security,bachelor's,cybersecurity specialist,cybersecurity;network security;python
sql;data analysis;excel,business;analytics,bachelor's,data analyst,data analysis;excel;sql
cloud computing;python;devops,technology;business,master's,cloud engineer,cloud computing;devops;python
graphic design;illustration;adobe creative suite,arts;design,bachelor's,graphic designer,adobe creative suite;graphic design;illustration
java;spring;microservices,software engineering;technology,bachelor's,backend developer,java;microservices;spring
python;machine learning;tensorflow,ai;innovation,master's,machine learning engineer,machine learning;python;tensorflow
digital marketing;seo;content strategy,marketing;social media,master's,digital marketer,content strategy;digital marketing;seo
sql;data warehousing;etl,finance;data analytics,bachelor's,data analyst,data warehousing;etl;sql
graphic design;illustration;adobe illustrator,arts;design,bachelor's,graphic designer,adobe illustrator;graphic design;illustration
python;nlp;deep learning,ai;language,master's,nlp engineer,deep learning;nlp;python
research;statistical analysis;r,academia;biotech,bachelor's,research scientist,r;research;statistical analysis
project management;agile;communication,business;management,master's,project manager,agile;communication;project management
python;data visualization;r,data analysis;statistics,master's,data analyst,data visualization;python;r
ux research;prototyping;interaction design,design;user experience,bachelor's,ux researcher,interaction design;prototyping;ux research
cloud computing;devops;python,technology;business,master's,devops engineer,cloud computing;devops;python
business analysis;excel;sql,business;finance,master's,business analyst,business analysis;excel;sql
cloud computing;python;devops,technology;business,bachelor's,cloud engineer,cloud computing;devops;python
python;data analysis;sql,finance;analytics,master's,data analyst,data analysis;python;sql
java;system design;cloud computing,software development;ai,bachelor's,software engineer,cloud computing;java;system design
python;deep learning;statistics,healthcare;ai,master's,ai researcher,deep learning;python;statistics
project management;communication;agile,business;management,bachelor's,project manager,agile;communication;project management
digital marketing;seo;content creation,marketing;communications,master's,digital marketer,content creation;digital marketing;seo
python;data analysis;machine learning,technology;data science,master's,data scientist,data analysis;machine learning;python
java;system design;cloud computing,software development;ai,phd,software engineer,cloud computing;java;system design
html;css;javascript,healthcare;ai,master's,ai researcher,css;html;javascript
c++;embedded systems;iot,business;management,phd,project manager,c++;embedded systems;iot
javascript;react;node.js,marketing;communications,master's,data analyst,javascript;node.js;react
